STATION,STATION_NAME,DATE,HPCP
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000301 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000303 20:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000303 23:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000304 01:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000304 02:00,2.29
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000304 03:00,1.78
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000304 04:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000304 06:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000304 07:00,13.46
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000304 08:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000304 12:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000304 13:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000311 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000311 03:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000311 13:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000311 14:00,2.29
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000311 15:00,1.78
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000311 16:00,1.27
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000311 17:00,6.86
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000311 18:00,1.27
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000311 19:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 06:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 07:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 08:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 09:00,4.57
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 10:00,3.05
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 11:00,2.03
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 12:00,1.27
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 13:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 14:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 15:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000316 16:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000319 16:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000319 17:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000319 19:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000319 20:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000319 21:00,1.27
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000319 22:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000319 23:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000320 00:00,2.03
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000320 01:00,2.79
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000320 02:00,12.70
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000320 03:00,5.08
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000320 04:00,7.11
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000320 05:00,2.54
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000320 09:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000320 11:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000321 05:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000321 06:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000327 14:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000327 15:00,3.05
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000327 16:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000327 17:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000329 09:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000329 14:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000329 15:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000329 16:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000329 20:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000330 09:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000330 10:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000330 11:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000401 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 01:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 02:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 03:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 08:00,1.78
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 09:00,1.27
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 10:00,1.02
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 11:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 12:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 13:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 14:00,5.08
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000402 15:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000403 03:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000403 04:00,6.10
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000403 05:00,1.52
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000403 09:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000403 21:00,3.81
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000403 22:00,3.05
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000404 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000404 02:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000404 03:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000404 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000404 05:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000404 06:00,1.02
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000404 07:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000404 08:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000408 10:00,3.30
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000408 11:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000408 12:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000413 20:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000414 05:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000414 06:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000414 16:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000414 17:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000414 19:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000414 20:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000414 23:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 02:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 11:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 12:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 13:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 14:00,1.52
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 15:00,1.02
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 16:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 17:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 18:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 19:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 21:00,1.27
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000424 22:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000425 02:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000425 03:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000425 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000426 02:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000426 03:00,1.78
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000426 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000427 23:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000428 00:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000428 01:00,4.06
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000428 02:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000501 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000502 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000503 19:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000503 20:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000503 21:00,1.78
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000503 22:00,1.52
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000503 23:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000504 00:00,1.02
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000504 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000517 11:00,0.00
